"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_07_115707_add_status_id__to_news_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_10_051052_create_approved_statuses_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_10_053405_add_designation_id_to_blogs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_16_045758_create_approved_news_statuses_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_18_070506_country.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 1, 5, 85
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_055221_add_country_id_to_blogs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_061003_add_country_id_to_news_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_065637_create_City_table.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 1, 5, 56
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_065642_create_State_table.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_23_070925_create_file_manager_controllers_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 6, 4, 28
"c:\wamp64\www\role_and_permissions\database\seeders\ActionUserSeeder.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 3, 4, 20
"c:\wamp64\www\role_and_permissions\database\seeders\ApprovedNewsStatusSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\ApprovedStatusSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
